* Block Type = 384-Well Block
* Calibration Background is expired  = No
* Calibration Background performed on  = 2025-04-11 10:17:30 AM CEST
* Calibration FAM is expired  = No
* Calibration FAM performed on  = 2025-04-11 10:45:48 AM CEST
* Calibration NED is expired  = No
* Calibration NED performed on  = 2025-04-11 11:19:35 AM CEST
* Calibration ROI is expired  = No
* Calibration ROI performed on  = 2025-04-11 10:09:22 AM CEST
* Calibration ROX is expired  = No
* Calibration ROX performed on  = 2025-04-11 11:10:48 AM CEST
* Calibration SYBR is expired  = No
* Calibration SYBR performed on  = 2025-04-11 11:28:34 AM CEST
* Calibration TAMRA is expired  = No
* Calibration TAMRA performed on  = 2025-04-11 10:54:14 AM CEST
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on  = 2025-04-11 10:26:53 AM CEST
* Calibration VIC is expired  = No
* Calibration VIC performed on  = 2025-04-11 10:36:38 AM CEST
* Chemistry = TAQMAN
* Experiment Barcode = 
* Experiment Comments = NA
* Experiment File Name = I:\Common\6. Lab operations\PCR-runs\B384_001976 250811 EH Q.eds
* Experiment Name = B384_001976 250811 EH Q
* Experiment Run End Time = 2025-08-11 16:09:02 PM CEST
* Experiment Type = Standard Curve
* Experiment User Name = NA
* Instrument Name = 278860668
* Instrument Serial Number = 278860668
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Well Position	Sample Name	Target Name	Ct Threshold	Baseline Start	Baseline End	Comments	Reporter	CT
96	D24	PC_MON1445_0000066837	pt	0.100	3	15	1887968	FAM	29.734
337	O1	NC_0000066694	FatA	0.100	3	15	1886809	VIC	Undetermined
338	O2	NC_0000066696	B11b	0.100	3	15	1886811	FAM	Undetermined
339	O3	NC_0000066698	Sh	0.100	3	15	1886813	FAM	Undetermined
340	O4	NC_0000066700	n	0.100	3	15	1886815	FAM	Undetermined
341	O5	NC_0000066702	pt	0.100	3	15	1886817	FAM	Undetermined
342	O6	NC_0000066704	SbEP1	0.100	3	15	1886819	FAM	Undetermined
343	O7	NC_0000066802	Mhmg	0.100	3	15	1887593	VIC	Undetermined
345	O9	NC_0000066804	35S	0.100	3	15	1887595	FAM	Undetermined
346	O10	NC_0000066806	DAS40278-9	0.100	3	15	1887597	FAM	Undetermined
361	P1	PC_RAPESEED_0000066695	FatA	0.100	3	15	1886810	VIC	25.288
362	P2	PC_T45_0000066697	B11b	0.100	3	15	1886812	FAM	30.746
363	P3	PC_LLRICE62_0000066699	Sh	0.100	3	15	1886814	FAM	30.323
364	P4	PC_GA21_0000066701	n	0.100	3	15	1886816	FAM	29.501
365	P5	PC_MON1445_0000066703	pt	0.100	3	15	1886818	FAM	29.664
366	P6	PC_RT73_0000066705	SbEP1	0.100	3	15	1886820	FAM	28.695
367	P7	PC_MAIZE_0000066803	Mhmg	0.100	3	15	1887594	VIC	26.749
369	P9	PC_MON1445_0000066805	35S	0.100	3	15	1887596	FAM	30.939
370	P10	PC_DAS40278_0000066807	DAS40278-9	0.100	3	15	1887598	FAM	30.006
